Partido;codigo;Equipo1;Equipo2;Goles Equipo 1;Goles Equipo 2
Partido1;id:1;Equipo1: Argentina(id:1);Equipo2 : Arabia Saudita(id:2);Goles equipo 1: 1;Goles equipo 2 :2
Partido2;id2;Equipo1: Polonia(id:3);Equipo2 : Mexico(id:4);Goles equipo 1: 0;Goles equipo 2 :0
